road_seg_id,data_time,volume,speed
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:48:00,18,42.625
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:48:00,37,48.0
13GQN0C644013GOB0C64300102661,2024-03-02 20:48:00,47,53.333
13H000C647013H1N0C64600300543,2024-03-02 20:48:00,16,7.562
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:48:00,10,53.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:48:00,43,41.667
13HV00C681013HSM0C6C700105472,2024-03-02 20:48:05,48,81.63
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:48:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:48:19,5,28.79
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:48:47,56,70.222
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:49:00,17,41.0
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:49:00,43,45.333
13GQN0C644013GOB0C64300102661,2024-03-02 20:49:00,62,44.333
13H000C647013H1N0C64600300543,2024-03-02 20:49:00,8,7.75
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:49:00,11,55.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:49:00,36,47.667
13HV00C681013HSM0C6C700105472,2024-03-02 20:49:05,54,75.53
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:49:08,2,21.1
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:49:19,2,42.9
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:49:47,55,68.398
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:50:00,19,41.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:50:00,51,43.667
13GQN0C644013GOB0C64300102661,2024-03-02 20:50:00,46,53.333
13H000C647013H1N0C64600300543,2024-03-02 20:50:00,8,7.625
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:50:00,34,56.5
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:50:00,83,44.5
13HV00C681013HSM0C6C700105472,2024-03-02 20:50:05,51,81.83
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:50:08,6,19.2
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:50:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:50:47,62,67.222
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:51:00,29,41.688
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:51:00,84,46.333
13GQN0C644013GOB0C64300102661,2024-03-02 20:51:00,40,56.0
13H000C647013H1N0C64600300543,2024-03-02 20:51:00,6,7.875
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:51:00,10,52.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:51:00,38,44.0
13HV00C681013HSM0C6C700105472,2024-03-02 20:51:05,52,84.123
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:51:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:51:19,6,48.5
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:51:47,64,67.048
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:52:00,45,44.0
13GQN0C644013GOB0C64300102661,2024-03-02 20:52:00,61,45.333
13H000C647013H1N0C64600300543,2024-03-02 20:52:00,10,6.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:52:00,16,49.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:52:00,39,37.0
13HV00C681013HSM0C6C700105472,2024-03-02 20:52:05,58,78.4
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:52:08,3,14.19
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:52:19,1,37.5
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:52:47,43,71.822
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:53:00,20,39.0
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:53:00,41,42.667
13GQN0C644013GOB0C64300102661,2024-03-02 20:53:00,40,56.667
13H000C647013H1N0C64600300543,2024-03-02 20:53:00,6,6.0
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:53:00,22,49.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:53:00,49,41.333
13HV00C681013HSM0C6C700105472,2024-03-02 20:53:05,68,74.233
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:53:08,2,12.5
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:53:19,4,59.4
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:53:47,62,65.218
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:54:00,15,37.625
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:54:00,56,38.667
13GQN0C644013GOB0C64300102661,2024-03-02 20:54:00,50,51.333
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:54:00,25,43.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:54:00,40,35.0
13HV00C681013HSM0C6C700105472,2024-03-02 20:54:05,42,84.763
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:54:08,1,4.5
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:54:19,2,58.7
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:54:47,61,67.022
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:55:00,13,40.75
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:55:00,44,45.0
13GQN0C644013GOB0C64300102661,2024-03-02 20:55:00,65,40.667
13H000C647013H1N0C64600300543,2024-03-02 20:55:00,5,7.625
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:55:00,5,52.0
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:55:00,16,56.75
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:55:00,97,41.167
13HV00C681013HSM0C6C700105472,2024-03-02 20:55:05,56,86.663
13EQB0C3DT013EPP0C3C600104214,2024-03-02 20:55:08,12,13.39
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 20:55:19,3,52.7
13FIJ0C554013FIO0C53C00104444,2024-03-02 20:55:47,63,71.22
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 20:56:00,18,41.625
13G730C5JR013G9G0C5LM00100683,2024-03-02 20:56:00,88,43.5
13GQN0C644013GOB0C64300102661,2024-03-02 20:56:00,59,45.667
13H000C647013H1N0C64600300543,2024-03-02 20:56:00,5,7.5
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 20:56:00,6,40.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 20:56:00,40,44.0
13HV00C681013HSM0C6C700105472,2024-03-02 20:56:05,55,83.623
